,class,message
172,spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed  Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs wwwLdewcom1win150ppmx3age16
173,spam,Had your mobile 11mths  Update for FREE to Oranges latest colour camera mobiles  unlimited weekend calls Call Mobile Upd8 on freefone 08000839402 or 2StopTx
174,legit,Did he just say somebody is named tampa
175,spam,Double Mins  Double Txt  12 price Linerental on Latest Orange Bluetooth mobiles Call MobileUpd8 for the very latest offers 08000839402 or call2optoutLF56
176,spam,YES The only place in town to meet exciting adult singles is now in the UK Txt CHAT to 86688 now 150pMsg
177,spam,Had your mobile 11 months or more U R entitled to Update to the latest colour mobiles with camera for Free Call The Mobile Update Co FREE on 08002986030
178,spam,FreeMsg Fancy a flirt Reply DATE now  join the UKs fastest growing mobile dating service Msgs rcvd just 25p to optout txt stop to 83021 Reply DATE now
179,legit,I have printed it oh So  lt
180,spam,EASTENDERS TV Quiz What FLOWER does DOT compare herself to D VIOLET E TULIP F LILY txt D E or F to 84025 NOW 4 chance 2 WIN 100 Cash WKENT150P16
181,spam,PRIVATE Your 2003 Account Statement for 07808 XXXXXX shows 800 unredeemed S I M points Call 08719899217 Identifier Code 41685 Expires 071104
182,spam,U have a secret admirer REVEAL who thinks U R So special Call 09065174042 To opt out Reply REVEAL STOP 150 per msg recd Cust care 07821230901
183,spam,Customer Loyalty OfferThe NEW Nokia6650 Mobile from ONLY 10 at TXTAUCTION Txt word START to No 81151  get yours Now 4TCtxt TC 150pMTmsg
184,legit,Wait  lt
185,legit,When are you going to ride your bike
186,spam,Free msg Sorry
187,spam,FREE2DAY sexy St Georges Day pic of JordanTxt PIC to 89080 dont miss out
188,legit,No prob I will send to your email
189,legit,Fine i miss you very much
190,legit,Good evening Sir
191,legit,Ugh I dont wanna get out of bed Its so warm
192,legit,Love you aathilove u lot
193,spam,Mobile Club Choose any of the top quality items for your mobile 7cfca1a
194,legit,So hows scotland Hope you are not over showing your JJC tendencies Take care Live the dream
195,legit,Busy here Trying to finish for new year I am looking forward to finally meeting you
196,spam,Your credits have been topped up for httpwwwbubbletextcom Your renewal Pin is tgxxrz
197,spam,PLS STOP bootydelious 32F is inviting you to be her friend Reply YES434 or NO434 See her wwwSMSacubootydelious STOP Send STOP FRND to 62468
198,spam,For ur chance to win a 250 wkly shopping spree TXT SHOP to 80878 TsCs wwwtxt2shopcom custcare 08715705022
199,spam,Want a new Video Phone 750 anytime any network mins Half price line rental free text for 3 months Reply or call 08000930705 for free delivery
200,legit,On the road so cant txt
201,legit,Sorry to be a pain Is it ok if we meet another night I spent late afternoon in casualty and that means i havent done any of y stuff42moro and that includes all my time sheets and that Sorry 
202,spam,Hi there
203,spam,Got what it takes 2 take part in the WRC Rally in Oz U can with Lucozade Energy Text RALLY LE to 61200 25p
204,legit,He will
205,spam,Hello from Orange For 1 months free access to games
206,spam,You will be receiving this weeks Triple Echo ringtone shortly Enjoy it
207,legit,Jay says that youre a doublefaggot
208,legit,Omg I want to scream I weighed myself and I lost more weight Woohoo
209,spam,important information 4 orange user 0789xxxxxxx today is your lucky day2find out why log onto httpwwwurawinnercom THERES A FANTASTIC SURPRISE AWAITING YOU
210,spam,FROM 88066 LOST 12 HELP
211,legit,Yeshere tv is always available in work place
212,spam,As a SIM subscriber
213,legit,Ok i am on the way to railway
214,legit,How are you doing Hope youve settled in for the new school year Just wishin you a gr8 day
215,spam,Send a logo 2 ur lover  2 names joined by a heart Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo POBox36504W45WQ TxtNO 4 no ads 150p
216,spam,Free Top ringtone sub to weekly ringtoneget 1st week freesend SUBPOLY to 816183 per weekstop sms08718727870
217,spam,RTKIng Pro Video Club Need help inforingtonekingcouk or call 08701237397 You must be 16 Club credits redeemable at wwwringtonekingcouk Enjoy
218,legit,Then any special there
219,legit,Your opinion about me 1 Over 2 Jada 3 Kusruthi 4 Lovable 5 Silent 6 Spl character 7 Not matured 8 Stylish 9 Simple Pls reply
220,legit,Pick you up bout 730ish What time are  and that going
221,legit,Ive not called you in a while This is hoping it was l8r malaria and that you know that we miss you guys I miss Bani big
222,spam,You have an important customer service announcement from PREMIER
223,spam,Hi
224,spam,09066362231 URGENT Your mobile No 07xxxxxxxxx won a 2
225,legit,Aight yo
226,legit,Ask g or iouri
227,legit,Wow I never realized that you were so embarassed by your accomodations I thought you liked it
228,spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console Press 0 for Games Arcade std WAP charge See o2coukgames 4 Terms  settings No purchase
229,legit,Ki deleted my contact that why
230,legit,HI BABE IM AT HOME NOW WANNA DO SOMETHING XX
231,spam,Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680 When booking quote 1st class x 2
232,spam,PRIVATE Your 2003 Account Statement for shows 800 unredeemed SIM points Call 08718738001 Identifier Code 49557 Expires 261104
233,legit,120 that call cost Which i guess isnt bad Miss ya
234,spam,England v Macedonia  dont miss the goalsteam news Txt ur national team to 87077 eg ENGLAND to 87077 TryWALES
235,spam,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night
236,spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won Just answer 4 easy questions Play Now Send HMV to 86688 More infowww100percentrealcom
237,spam,Urgent call 09066350750 from your landline Your complimentary 4 Ibiza Holiday or 10
238,spam,Urgent Ur 500 guaranteed award is still unclaimed Call 09066368327 NOW closingdate040902 claimcode M39M51 150pmmorefrommobile2BremovedMobyPOBox734LS27YF
239,spam,This is the 2nd time we have tried 2 contact u U have won the 750 Pound prize 2 claim is easy
240,spam,Congratulations ur awarded either 500 of CD gift vouchers  Free entry 2 our 100 weekly draw txt MUSIC to 87066 TnCs wwwLdewcom1win150ppmx3age16
241,legit,Maybe i could get book out tomo then return it immediately  Or something
242,spam,For the most sparkling shopping breaks from 45 per person call 0121 2025050 or visit wwwshortbreaksorguk
243,legit,here is my new address applespairsall that malarky
244,legit,what I meant to say is cant wait to see u again getting bored of this bridgwater banter
245,spam,Dear Voucher Holder
246,spam,PRIVATE Your 2003 Account Statement for shows 800 unredeemed S I M points Call 08719899230 Identifier Code 41685 Expires 071104
247,spam,Txt CALL to No 86888  claim your reward of 3 hours talk time to use from your phone now Subscribe6GBPmnth inc 3hrs 16 stoptxtStop wwwgambtv
248,legit,Where are youwhen wil you reach here
249,legit,He is a womdarfull actor
250,spam,Thank you
251,spam,YOU VE WON Your 4 Costa Del Sol Holiday or 5000 await collection Call 09050090044 Now toClaim SAE
252,legit,Are you there in room
253,legit,How would my ip address test that considering my computer isnt a minecraft server
254,spam,5p 4 alfie Moons Children in need song on ur mob Tell ur m8s Txt Tone charity to 8007 for Nokias or Poly charity for polys zed 08701417012 profit 2 charity
255,spam,Bought one ringtone and now getting texts costing 3 pound offering more tones etc
256,legit,Great Never been better Each day gives even more reasons to thank God
257,spam,EASTENDERS TV Quiz What FLOWER does DOT compare herself to D VIOLET E TULIP F LILY txt D E or F to 84025 NOW 4 chance 2 WIN 100 Cash WKENT150P16
258,legit,Sorry light turned green
259,spam,Youll not rcv any more msgs from the chat svc For FREE Hardcore services text GO to 69988 If u get nothing u must Age Verify with yr network  try again
260,spam,SMS SERVICES for your inclusive text credits
261,legit,If youre not in my car in an hour and a half Im going apeshit
262,legit,As per your request Melle Melle Oru Minnaminunginte Nurungu Vettam has been set as your callertune for all Callers Press 9 to copy your friends Callertune
263,legit,Huh so early Then  having dinner outside izzit
264,legit,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employers paperwork Not cool at all Please do not contact me again or I will report you to your supervisor
265,spam,As one of our registered subscribers u can enter the draw 4 a 100 GB gift voucher by replying with ENTER To unsubscribe text STOP
266,legit,For fear of fainting with the of all that housework you just did Quick have a cuppa
267,spam,3 FREE TAROT TEXTS Find out about your love life now TRY 3 FOR FREE Text CHANCE to 85555 16 only After 3 Free
268,spam,Can U get 2 phone NOW I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls1minmoremobsEMSPOBox45PO139WA
269,legit,Sweetheart
270,spam,Wan2 win a MeetGreet with Westlife 4 U or a m8 They are currently on what tour 1Unbreakable
271,spam,SMS ac Blind Date 4U Rodds1 is 21m from Aberdeen
272,spam,SPJanuary Male Sale Hot Gay chat now cheaper
273,legit,Hi Princess Thank you for the pics You are very pretty How are you
274,spam,From next month get upto 50 More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3net 1st4Terms PoBox84 M26 3UZ Cost 150 min MobcudB more
275,spam,We know someone who you know that fancies you Call 09058097218 to find out who POBox 6
276,spam,Urgent Please call 09061743811 from landline Your ABTA complimentary 4 Tenerife Holiday or 5000 cash await collection SAE TCs Box 326 CW25WX 150ppm
277,legit,When i have stuff to sell ill tell you
278,spam,CLAIRE here am havin borin time  am now alone U wanna cum over 2nite Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls1minmoremobsEMSPOBox45PO139WA
279,spam,RGENT This is the 2nd attempt to contact UU have WON 1250 CALL 09071512433 b4 050703 TCsBCM4235WC1N3XX callcost 150ppm mobilesvary max7 50
280,spam,You will recieve your tone within the next 24hrs For Terms and conditions please see Channel U Teletext Pg 750
281,legit,Hi the way I was with u 2day
282,spam,Sorry I missed your call lets talk when you have the time Im on 07090201529
283,legit,Ok
284,legit,Hey so this sat are we going for the intro pilates only Or the kickboxing too 
285,legit,I know but you need to get hotel now I just got my invitation but i had to apologise Cali is to sweet for me to come to some english blokes weddin
286,legit,Ha ha cool cool chikku chikkuDB
287,legit,BOO BABE U ENJOYIN YOURJOB U SEEMED 2 B GETTIN ON WELL HUNNYHOPE URE OKTAKE CARE  ILLSPEAK 2U SOONLOTS OF LOVEME XXXX
288,legit,Haf u found him I feel so stupid da v cam was working
289,legit,Have you finished work yet 
290,spam,You have won a guaranteed 200 award or even 1000 cashto claim UR award call free on 08000407165 18 2 stop getstop on 88222 PHP
291,spam,Hope you enjoyed your new content text stop to 61610 to unsubscribe help08712400602450p Provided by tones2youcouk
292,spam,Congrats 2 mobile 3G Videophones R yours call 09061744553 now videochat wid ur mates
293,legit,There generally isnt one Its an uncountable noun  u in the dictionary pieces of research
294,spam,u r a winner U ave been specially selected 2 receive 1000 cash or a 4 holiday flights inc speak to a live operator 2 claim 0871277810710pmin 18 
295,spam,HERMES We have attempted to deliver a parcel on the 2304 To reschedule please visit httpshermesmissedpackageredirectcom
296,legit,Alright
297,legit,Dont gimme that lip caveboy
298,legit,Home so we can always chat
299,spam,Freemsg 1month unlimited free calls Activate SmartCall Txt CALL to No 68866 Subscriptn3gbpwk unlimited calls Help 08448714184 Stoptxt stop landlineonly
300,spam,Kit Strip  you have been billed 150p Netcollex Ltd PO Box 1013 IG11 OJA
301,spam,IMPORTANT MESSAGE This is a final contact attempt You have important messages waiting out our customer claims dept Expires 13404 Call 08717507382 NOW
302,legit,Yeah theres barely enough room for the two of us
303,spam,Dorothykiefercom Bank of Granite issues StrongBuy EXPLOSIVE PICK FOR OUR MEMBERS UP OVER 300  Nasdaq Symbol CDGT That is a 500 per
304,legit,Check with nuerologist
305,spam,FREE for 1st week No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates wwwgetzedcouk POBox 36504 W45WQ 16 norm150ptone
306,spam,As a valued customer
307,legit,Your account has been refilled successfully by INR  ltDECIMALgt  Your KeralaCircle prepaid account balance is Rs  ltDECIMALgt  Your Transaction ID is KR lt
308,legit,Lol U drunkard Just doing my hair at d moment Yeah still up 4 tonight Wats the plan 
309,legit,Save yourself the stress If the person has a dorm account
310,spam,Great NEW Offer  DOUBLE Mins  DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE Call MobileUpd8 free on 08000839402 NOW or 2stoptxt TCs
311,spam,Here is your discount code RP176781 To stop further messages reply stop wwwregalportfoliocouk Customer Services 08717205546
312,legit,Goodo Yes we must speak friday  eggpotato ratio for tortilla needed 
313,spam,Thanks for your ringtone order
314,legit,Thank you baby I cant wait to taste the real thing
315,legit,So when do you wanna gym harri
316,legit,Sfine Anytime All the best with it
317,spam,Dear Matthew please call 09063440451 from a landline
318,legit,We are at grandmas Oh dear
319,spam,UR awarded a City Break and could WIN a 200 Summer Shopping spree every WK Txt STORE to 88039SkilGmeTsCs087147403231WinawkAge16150perWKsub
320,legit,I have many dependents
321,legit,Does she usually take fifteen fucking minutes to respond to a yes or no question
322,spam,U have a secret admirer who is looking 2 make contact with Ufind out who they Rreveal who thinks UR so specialcall on 09058094599
323,legit,Ela kano
324,legit,Ya even those cookies have jelly on them
325,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005 Text FA to 87121 to receive entry questionstd txt rateTCs apply 08452810075over18s
326,legit,I dun thk ill quit yet Hmmm
327,legit,Im back
328,spam,If you dont
329,legit,Come by our room at some point so we can iron out the plan for this weekend
330,legit,Lol you wont feel bad when I use her money to take you out to a steak dinner D
331,spam,HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd
332,spam,This is the 2nd time we have tried to contact u U have won the 400 prize 2 claim is easy
333,legit,Got it Seventeen pounds for seven hundred ml  hope ok
334,spam,4mths half price Orange line rental  latest camera phones 4 FREE Had your phone 11mths  Call MobilesDirect free on 08000938767 to update now or2stoptxt
335,legit,Found it
336,spam,Download as many ringtones as u like no restrictions
337,legit,Sir
338,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am11pm as you have WON a guaranteed 1000 cash or 5000 prize
339,legit,Please dont text me anymore I have nothing else to say
340,legit,Ok i msg u b4 i leave my house
341,spam,Fantasy Football is back on your TV Go to Sky Gamestar on Sky Active and play 250k Dream Team Scoring starts on Saturday
342,legit,Turns out my friends are staying for the whole show and wont be back til  lt
343,spam,U are subscribed to the best Mobile Content Service in the UK for 3 per 10 days until you send STOP to 82324 Helpline 08706091795
344,legit,Aaooooright are you at work
345,spam,You have WON a guaranteed 1000 cash or a 2000 prizeTo claim yr prize call our customer service representative on
346,legit,Wait
347,legit,Haha awesome
348,spam,I dont know u and u dont know me Send CHAT to 86688 now and lets find each other Only 150pMsg rcvd HGSuite3422LandsRowW1J6HL LDN 18 years or over
349,legit,Thats a bit weird
350,spam,You have 1 new voicemail Please call 08719181513
351,legit,Please dont say like that Hi hi hi
352,spam,FreeMsg Todays the day if you are ready Im horny  live in your town I love sex fun  games Netcollex Ltd 08700621170150p per msg reply Stop to end
353,legit,Yup having my lunch buffet now U eat already
354,legit,So theres a ring that comes with the guys costumes Its there so they can gift their future yowifes Hint hint
355,legit,Hey company elama po mudyadhu
356,legit,First answer my question
357,spam,Shop till u Drop
358,spam,07732584351  Rodger Burns  MSG  We tried to call you re your reply to our sms for a free nokia mobile  free camcorder Please call now 08000930705 for delivery tomorrow
359,spam,URGENT We are trying to contact U Todays draw shows that you have won a 2000 prize GUARANTEED Call 09066358361 from land line Claim Y87 Valid 12hrs only
360,spam,Sexy Singles are waiting for you Text your AGE followed by your GENDER as wither M or F EG23F For gay men text your AGE followed by a G eg23G
361,legit,Its a valentine game   Send dis msg to all ur friends  If 5 answers r d same then someone really loves u Ques which colour suits me the bestrply me
362,legit,Wish i were with you now
363,legit,Thanks for yesterday sir You have been wonderful Hope you enjoyed the burial MojiBiola
